Model,Condition,Metric,Paper,Reproduced,Difference,Pct_Diff
MLP,BASELINE,Accuracy,0.810,0.893,+0.083,+10.2%
MLP,BASELINE,Sensitivity,0.850,0.880,+0.030,+3.6%
MLP,BASELINE,Specificity,0.781,0.904,+0.123,+15.7%
MLP,SMOTEENN,Accuracy,0.850,0.880,+0.030,+3.5%
MLP,SMOTEENN,Sensitivity,0.879,0.822,-0.057,-6.5%
MLP,SMOTEENN,Specificity,0.830,0.927,+0.097,+11.7%
LSTM,BASELINE,Accuracy,0.861,0.891,+0.030,+3.5%
LSTM,BASELINE,Sensitivity,0.848,0.858,+0.010,+1.1%
LSTM,BASELINE,Specificity,0.885,0.919,+0.034,+3.9%
LSTM,SMOTEENN,Accuracy,0.917,0.875,-0.042,-4.5%
LSTM,SMOTEENN,Sensitivity,0.897,0.822,-0.075,-8.4%
LSTM,SMOTEENN,Specificity,0.913,0.919,+0.006,+0.7%
GRU,BASELINE,Accuracy,0.837,0.893,+0.056,+6.7%
GRU,BASELINE,Sensitivity,0.829,0.858,+0.029,+3.5%
GRU,BASELINE,Specificity,0.849,0.922,+0.073,+8.6%
GRU,SMOTEENN,Accuracy,0.926,0.877,-0.049,-5.3%
GRU,SMOTEENN,Sensitivity,0.911,0.816,-0.095,-10.5%
GRU,SMOTEENN,Specificity,0.930,0.927,-0.003,-0.3%
