Model,Condition,Metric,Paper,Reproduced,Difference,Pct_Diff
MLP,BASELINE,Accuracy,0.704,0.816,+0.112,+15.9%
MLP,BASELINE,Sensitivity,0.773,0.590,-0.183,-23.7%
MLP,BASELINE,Specificity,0.310,0.913,+0.603,+194.5%
MLP,SMOTEENN,Accuracy,0.824,0.789,-0.035,-4.2%
MLP,SMOTEENN,Sensitivity,0.830,0.593,-0.237,-28.5%
MLP,SMOTEENN,Specificity,0.810,0.873,+0.063,+7.8%
LSTM,BASELINE,Accuracy,0.730,0.808,+0.078,+10.7%
LSTM,BASELINE,Sensitivity,0.770,0.590,-0.180,-23.4%
LSTM,BASELINE,Specificity,0.394,0.901,+0.507,+128.8%
LSTM,SMOTEENN,Accuracy,0.819,0.778,-0.041,-5.0%
LSTM,SMOTEENN,Sensitivity,0.859,0.680,-0.179,-20.8%
LSTM,SMOTEENN,Specificity,0.729,0.820,+0.091,+12.5%
GRU,BASELINE,Accuracy,0.749,0.812,+0.063,+8.4%
GRU,BASELINE,Sensitivity,0.895,0.593,-0.302,-33.7%
GRU,BASELINE,Specificity,0.431,0.906,+0.475,+110.1%
GRU,SMOTEENN,Accuracy,0.899,0.776,-0.123,-13.7%
GRU,SMOTEENN,Sensitivity,0.931,0.680,-0.251,-27.0%
GRU,SMOTEENN,Specificity,0.852,0.817,-0.035,-4.1%
