epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.07396442585521275,0.52,0.07288020849227905,0.69
2,0.07290863441096412,0.6133333333333333,0.07302641123533249,0.3
3,0.07286092572742038,0.3422222222222222,0.07245338708162308,0.7
4,0.07280545814169778,0.6555555555555556,0.07221698015928268,0.67
5,0.07262582424614164,0.5922222222222222,0.07068080455064774,0.6
6,0.0724932369755374,0.5466666666666666,0.07118865102529526,0.67
7,0.07225040164258745,0.5688888888888889,0.08049094676971436,0.48
8,0.07388318532043033,0.5777777777777777,0.07272127270698547,0.56
9,0.072746588687102,0.6055555555555555,0.07243771106004715,0.35
10,0.07271144638458887,0.4111111111111111,0.07202782481908798,0.67
