epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.07080269538693958,0.5555555555555556,0.06457465142011642,0.72
2,0.06089513404501809,0.6944444444444444,0.05636513605713844,0.76
3,0.05829507950279448,0.7255555555555555,0.053257957100868225,0.76
4,0.05678117053376304,0.7322222222222222,0.052501484751701355,0.75
5,0.0559855885638131,0.7544444444444445,0.05189468711614609,0.76
6,0.056423075712389414,0.7444444444444445,0.05180668830871582,0.76
7,0.053951532046000165,0.7566666666666667,0.05187318101525307,0.78
8,0.05491385719842381,0.7222222222222222,0.052603721618652344,0.77
9,0.05192355003621843,0.7666666666666667,0.05174679681658745,0.77
10,0.05160270628001955,0.7555555555555555,0.05304138362407684,0.77
11,0.05277438662118382,0.7622222222222222,0.05219053104519844,0.75
12,0.05070994834105174,0.7766666666666666,0.05300619453191757,0.76
13,0.04971839078598552,0.7622222222222222,0.05281687527894974,0.77
14,0.04947466277413898,0.7711111111111111,0.05234754458069801,0.76
