2026-04-23 19:53:55,994 - german | paper | SMOTE:False | Focal:False | Fold 1 Acc: 0.7600
2026-04-23 19:53:56,847 - german | paper | SMOTE:False | Focal:False | Fold 2 Acc: 0.8300
2026-04-23 19:53:57,701 - german | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.7500
2026-04-23 19:53:58,631 - german | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.7500
2026-04-23 19:53:59,566 - german | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.7800
2026-04-23 19:54:00,492 - german | paper | SMOTE:False | Focal:False | Fold 6 Acc: 0.7200
2026-04-23 19:54:01,306 - german | paper | SMOTE:False | Focal:False | Fold 7 Acc: 0.7600
2026-04-23 19:54:02,164 - german | paper | SMOTE:False | Focal:False | Fold 8 Acc: 0.7900
2026-04-23 19:54:03,085 - german | paper | SMOTE:False | Focal:False | Fold 9 Acc: 0.8000
2026-04-23 19:54:03,969 - german | paper | SMOTE:False | Focal:False | Fold 10 Acc: 0.7700
2026-04-23 19:54:04,899 - german | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.6500
2026-04-23 19:54:05,661 - german | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.7100
2026-04-23 19:54:06,393 - german | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.5900
2026-04-23 19:54:07,179 - german | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.6700
2026-04-23 19:54:07,867 - german | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.6800
2026-04-23 19:54:08,610 - german | paper | SMOTE:True | Focal:False | Fold 6 Acc: 0.6200
2026-04-23 19:54:09,406 - german | paper | SMOTE:True | Focal:False | Fold 7 Acc: 0.6700
2026-04-23 19:54:10,522 - german | paper | SMOTE:True | Focal:False | Fold 8 Acc: 0.6900
2026-04-23 19:54:11,538 - german | paper | SMOTE:True | Focal:False | Fold 9 Acc: 0.6800
2026-04-23 19:54:12,679 - german | paper | SMOTE:True | Focal:False | Fold 10 Acc: 0.7000
2026-04-23 19:54:14,713 - german | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.7500
2026-04-23 19:54:16,445 - german | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8300
2026-04-23 19:54:17,676 - german | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.7800
2026-04-23 19:54:19,127 - german | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.7500
2026-04-23 19:54:20,578 - german | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8100
2026-04-23 19:54:21,800 - german | attn | SMOTE:False | Focal:True | Fold 6 Acc: 0.6800
2026-04-23 19:54:22,923 - german | attn | SMOTE:False | Focal:True | Fold 7 Acc: 0.7900
2026-04-23 19:54:24,170 - german | attn | SMOTE:False | Focal:True | Fold 8 Acc: 0.7800
2026-04-23 19:54:25,432 - german | attn | SMOTE:False | Focal:True | Fold 9 Acc: 0.8100
2026-04-23 19:54:26,667 - german | attn | SMOTE:False | Focal:True | Fold 10 Acc: 0.7700
2026-04-23 19:54:27,501 - australian | paper | SMOTE:False | Focal:False | Fold 1 Acc: 0.8986
2026-04-23 19:54:28,253 - australian | paper | SMOTE:False | Focal:False | Fold 2 Acc: 0.8551
2026-04-23 19:54:28,979 - australian | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.9130
2026-04-23 19:54:29,945 - australian | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.7971
2026-04-23 19:54:30,665 - australian | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.8696
2026-04-23 19:54:31,642 - australian | paper | SMOTE:False | Focal:False | Fold 6 Acc: 0.8696
2026-04-23 19:54:32,267 - australian | paper | SMOTE:False | Focal:False | Fold 7 Acc: 0.7536
2026-04-23 19:54:33,002 - australian | paper | SMOTE:False | Focal:False | Fold 8 Acc: 0.8261
2026-04-23 19:54:33,627 - australian | paper | SMOTE:False | Focal:False | Fold 9 Acc: 0.8261
2026-04-23 19:54:34,298 - australian | paper | SMOTE:False | Focal:False | Fold 10 Acc: 0.8986
2026-04-23 19:54:34,748 - australian | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.8551
2026-04-23 19:54:35,308 - australian | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.7536
2026-04-23 19:54:35,772 - australian | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.9275
2026-04-23 19:54:36,388 - australian | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.7826
2026-04-23 19:54:36,859 - australian | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.8551
2026-04-23 19:54:37,389 - australian | paper | SMOTE:True | Focal:False | Fold 6 Acc: 0.8841
2026-04-23 19:54:37,931 - australian | paper | SMOTE:True | Focal:False | Fold 7 Acc: 0.7391
2026-04-23 19:54:38,395 - australian | paper | SMOTE:True | Focal:False | Fold 8 Acc: 0.8406
2026-04-23 19:54:38,911 - australian | paper | SMOTE:True | Focal:False | Fold 9 Acc: 0.8261
2026-04-23 19:54:39,376 - australian | paper | SMOTE:True | Focal:False | Fold 10 Acc: 0.8986
2026-04-23 19:54:40,085 - australian | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.8986
2026-04-23 19:54:40,896 - australian | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8841
2026-04-23 19:54:41,977 - australian | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.9130
2026-04-23 19:54:42,969 - australian | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.8116
2026-04-23 19:54:44,155 - australian | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8696
2026-04-23 19:54:45,191 - australian | attn | SMOTE:False | Focal:True | Fold 6 Acc: 0.8841
2026-04-23 19:54:45,997 - australian | attn | SMOTE:False | Focal:True | Fold 7 Acc: 0.7971
2026-04-23 19:54:46,656 - australian | attn | SMOTE:False | Focal:True | Fold 8 Acc: 0.8406
2026-04-23 19:54:47,393 - australian | attn | SMOTE:False | Focal:True | Fold 9 Acc: 0.8116
2026-04-23 19:54:48,078 - australian | attn | SMOTE:False | Focal:True | Fold 10 Acc: 0.9420
