dataset,model,condition,fold_id,status,n_train,n_val,n_train_after_sampling,val_loss,history_path,checkpoint_path,feature_count_after_preprocessing,feature_names_path,runtime_seconds,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,tp,tn,fp,fn,roc_auc,pr_auc,prediction_path
australian,mlp,baseline,1,success,621,69,621,0.2510223388671875,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold01_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold01.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold01_features.json,4.706928730010986,0.8840579710144928,0.9666666666666667,0.8205128205128205,0.8055555555555556,0.8787878787878788,0.8935897435897435,29,32,7,1,0.964957264957265,0.9556449383454934,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold01_predictions.csv
australian,mlp,baseline,2,success,621,69,621,0.301471471786499,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold02_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold02.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold02_features.json,2.4593124389648438,0.8840579710144928,0.9,0.8717948717948718,0.84375,0.8709677419354839,0.8858974358974359,27,34,5,3,0.9427350427350427,0.8722582233330809,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold02_predictions.csv
australian,mlp,baseline,3,success,621,69,621,0.2060348242521286,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold03_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold03.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold03_features.json,3.2089321613311768,0.9130434782608695,1.0,0.8461538461538461,0.8333333333333334,0.9090909090909091,0.9230769230769231,30,33,6,0,0.976068376068376,0.9447678351407864,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold03_predictions.csv
australian,mlp,baseline,4,success,621,69,621,0.5038425922393799,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold04_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold04.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold04_features.json,1.5551934242248535,0.7536231884057971,0.6129032258064516,0.868421052631579,0.7916666666666666,0.6909090909090909,0.7406621392190154,19,33,5,12,0.8374363327674024,0.8423047172181921,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold04_predictions.csv
australian,mlp,baseline,5,success,621,69,621,0.3760373890399933,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold05_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold05.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold05_features.json,1.8285744190216064,0.8695652173913043,0.8064516129032258,0.9210526315789473,0.8928571428571429,0.847457627118644,0.8637521222410866,25,35,3,6,0.9015280135823429,0.8746227305481478,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold05_predictions.csv
australian,mlp,baseline,6,success,621,69,621,0.248290553689003,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold06_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold06.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold06_features.json,2.29044246673584,0.8840579710144928,0.8064516129032258,0.9473684210526315,0.9259259259259259,0.8620689655172413,0.8769100169779287,25,36,2,6,0.966044142614601,0.9660974490841008,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold06_predictions.csv
australian,mlp,baseline,7,success,621,69,621,0.4630427658557892,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold07_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold07.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold07_features.json,1.791334629058838,0.7536231884057971,0.5806451612903226,0.8947368421052632,0.8181818181818182,0.6792452830188679,0.7376910016977929,18,34,4,13,0.9049235993208828,0.8822116780830983,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold07_predictions.csv
australian,mlp,baseline,8,success,621,69,621,0.3208927512168884,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold08_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold08.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold08_features.json,1.929487705230713,0.8260869565217391,0.8709677419354839,0.7894736842105263,0.7714285714285715,0.8181818181818182,0.830220713073005,27,30,8,4,0.9401528013582343,0.9380545066920851,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold08_predictions.csv
australian,mlp,baseline,9,success,621,69,621,0.39571613073349,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold09_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold09.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold09_features.json,2.132080316543579,0.8260869565217391,0.8064516129032258,0.8421052631578947,0.8064516129032258,0.8064516129032258,0.8242784380305602,25,32,6,6,0.902376910016978,0.9028518707361223,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold09_predictions.csv
australian,mlp,baseline,10,success,621,69,621,0.1872405707836151,/kaggle/working/assignment3_outputs/histories/australian_mlp_baseline_fold10_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold10.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_baseline_fold10_features.json,3.5230185985565186,0.9565217391304348,0.9354838709677419,0.9736842105263158,0.9666666666666667,0.9508196721311475,0.9545840407470289,29,37,1,2,0.9753820033955858,0.9754230164298777,/kaggle/working/assignment3_outputs/metrics/australian_mlp_baseline_fold10_predictions.csv
australian,mlp,smoteenn,1,success,621,69,442,0.28231048583984375,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold01_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold01.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold01_features.json,1.4626727104187012,0.8695652173913043,0.9666666666666667,0.7948717948717948,0.7837837837837838,0.8656716417910447,0.8807692307692307,29,31,8,1,0.9683760683760684,0.9606333670807241,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold01_predictions.csv
australian,mlp,smoteenn,2,success,621,69,448,0.40709570050239563,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold02_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold02.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold02_features.json,1.4897150993347168,0.8405797101449275,0.7666666666666667,0.8974358974358975,0.8518518518518519,0.8070175438596491,0.8320512820512821,23,35,4,7,0.9196581196581196,0.8237352618434124,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold02_predictions.csv
australian,mlp,smoteenn,3,success,621,69,440,0.25741487741470337,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold03_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold03.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold03_features.json,1.5405430793762207,0.9130434782608695,1.0,0.8461538461538461,0.8333333333333334,0.9090909090909091,0.9230769230769231,30,33,6,0,0.9683760683760684,0.9462823480378723,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold03_predictions.csv
australian,mlp,smoteenn,4,success,621,69,468,0.5366747379302979,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold04_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold04.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold04_features.json,1.398451805114746,0.7536231884057971,0.6451612903225806,0.8421052631578947,0.7692307692307693,0.7017543859649122,0.7436332767402376,20,32,6,11,0.8170628183361629,0.8112183470996956,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold04_predictions.csv
australian,mlp,smoteenn,5,success,621,69,463,0.40190479159355164,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold05_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold05.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold05_features.json,1.4164714813232422,0.855072463768116,0.8387096774193549,0.868421052631579,0.8387096774193549,0.8387096774193549,0.8535653650254669,26,33,5,5,0.9121392190152801,0.8611633757674887,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold05_predictions.csv
australian,mlp,smoteenn,6,success,621,69,453,0.2628996670246124,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold06_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold06.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold06_features.json,1.6415326595306396,0.8695652173913043,0.8064516129032258,0.9210526315789473,0.8928571428571429,0.847457627118644,0.8637521222410866,25,35,3,6,0.9584040747028862,0.9603591672480042,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold06_predictions.csv
australian,mlp,smoteenn,7,success,621,69,458,0.44545456767082214,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold07_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold07.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold07_features.json,1.3828601837158203,0.7536231884057971,0.5806451612903226,0.8947368421052632,0.8181818181818182,0.6792452830188679,0.7376910016977929,18,34,4,13,0.896434634974533,0.8780897913269453,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold07_predictions.csv
australian,mlp,smoteenn,8,success,621,69,453,0.37928158044815063,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold08_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold08.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold08_features.json,1.4166860580444336,0.8260869565217391,0.8709677419354839,0.7894736842105263,0.7714285714285715,0.8181818181818182,0.830220713073005,27,30,8,4,0.9320882852292021,0.9271487582945037,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold08_predictions.csv
australian,mlp,smoteenn,9,success,621,69,459,0.384196400642395,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold09_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold09.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold09_features.json,1.4099791049957275,0.8405797101449275,0.8064516129032258,0.868421052631579,0.8333333333333334,0.819672131147541,0.8374363327674024,25,33,5,6,0.8904923599320882,0.9113220085787722,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold09_predictions.csv
australian,mlp,smoteenn,10,success,621,69,442,0.295049250125885,/kaggle/working/assignment3_outputs/histories/australian_mlp_smoteenn_fold10_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold10.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_smoteenn_fold10_features.json,1.4978132247924805,0.9130434782608695,0.9032258064516129,0.9210526315789473,0.9032258064516129,0.9032258064516129,0.9121392190152802,28,35,3,3,0.952037351443124,0.942493452575556,/kaggle/working/assignment3_outputs/metrics/australian_mlp_smoteenn_fold10_predictions.csv
australian,mlp,weighted_bce,1,success,621,69,621,0.28360265493392944,/kaggle/working/assignment3_outputs/histories/australian_mlp_weighted_bce_fold01_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold01.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold01_features.json,1.9722776412963867,0.8985507246376812,1.0,0.8205128205128205,0.8108108108108109,0.8955223880597015,0.9102564102564102,30,32,7,0,0.964957264957265,0.9561612007238247,/kaggle/working/assignment3_outputs/metrics/australian_mlp_weighted_bce_fold01_predictions.csv
australian,mlp,weighted_bce,2,success,621,69,621,0.2939702570438385,/kaggle/working/assignment3_outputs/histories/australian_mlp_weighted_bce_fold02_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold02.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold02_features.json,4.451815128326416,0.9130434782608695,0.9333333333333333,0.8974358974358975,0.875,0.9032258064516129,0.9153846153846155,28,35,4,2,0.9547008547008548,0.904634050723118,/kaggle/working/assignment3_outputs/metrics/australian_mlp_weighted_bce_fold02_predictions.csv
australian,mlp,weighted_bce,3,success,621,69,621,0.23766647279262543,/kaggle/working/assignment3_outputs/histories/australian_mlp_weighted_bce_fold03_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold03.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold03_features.json,2.9036593437194824,0.9130434782608695,1.0,0.8461538461538461,0.8333333333333334,0.9090909090909091,0.9230769230769231,30,33,6,0,0.9735042735042736,0.9383634955409782,/kaggle/working/assignment3_outputs/metrics/australian_mlp_weighted_bce_fold03_predictions.csv
australian,mlp,weighted_bce,4,success,621,69,621,0.5825217366218567,/kaggle/working/assignment3_outputs/histories/australian_mlp_weighted_bce_fold04_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold04.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold04_features.json,1.646378517150879,0.7681159420289855,0.6774193548387096,0.8421052631578947,0.7777777777777778,0.7241379310344828,0.7597623089983021,21,32,6,10,0.8365874363327673,0.8230168986453267,/kaggle/working/assignment3_outputs/metrics/australian_mlp_weighted_bce_fold04_predictions.csv
australian,mlp,weighted_bce,5,success,621,69,621,0.41345342993736267,/kaggle/working/assignment3_outputs/histories/australian_mlp_weighted_bce_fold05_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold05.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold05_features.json,1.980560064315796,0.855072463768116,0.7741935483870968,0.9210526315789473,0.8888888888888888,0.8275862068965517,0.847623089983022,24,35,3,7,0.9095925297113753,0.8787871459886508,/kaggle/working/assignment3_outputs/metrics/australian_mlp_weighted_bce_fold05_predictions.csv
australian,mlp,weighted_bce,6,success,621,69,621,0.2753172218799591,/kaggle/working/assignment3_outputs/histories/australian_mlp_weighted_bce_fold06_history.csv,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold06.pt,29,/kaggle/working/assignment3_outputs/models/australian_mlp_weighted_bce_fold06_features.json,2.668208599090576,0.8840579710144928,0.8709677419354839,0.8947368421052632,0.8709677419354839,0.8709677419354839,0.8828522920203735,27,34,4,4,0.9677419354838711,0.9687478211523104,/kaggle/working/assignment3_outputs/metrics/australian_mlp_weighted_bce_fold06_predictions.csv
