,count,mean,std,min,25%,50%,75%,max
LIMIT_BAL,30000.0,167484.32266666667,129747.66156719506,10000.0,50000.0,140000.0,240000.0,1000000.0
SEX,30000.0,1.6037333333333332,0.4891291960904071,1.0,1.0,2.0,2.0,2.0
EDUCATION,30000.0,1.8422666666666667,0.7444944624525737,1.0,1.0,2.0,2.0,4.0
MARRIAGE,30000.0,1.5572666666666666,0.5214047605458189,1.0,1.0,2.0,2.0,3.0
AGE,30000.0,35.4855,9.217904068090183,21.0,28.0,34.0,41.0,79.0
PAY_0,30000.0,-0.0167,1.1238015279973212,-2.0,-1.0,0.0,0.0,8.0
PAY_2,30000.0,-0.13376666666666667,1.19718597303439,-2.0,-1.0,0.0,0.0,8.0
PAY_3,30000.0,-0.1662,1.1968675684467378,-2.0,-1.0,0.0,0.0,8.0
PAY_4,30000.0,-0.22066666666666668,1.1691386224022984,-2.0,-1.0,0.0,0.0,8.0
PAY_5,30000.0,-0.2662,1.1331874060026166,-2.0,-1.0,0.0,0.0,8.0
PAY_6,30000.0,-0.2911,1.1499876256077741,-2.0,-1.0,0.0,0.0,8.0
BILL_AMT1,30000.0,51223.3309,73635.86057552874,-165580.0,3558.75,22381.5,67091.0,964511.0
BILL_AMT2,30000.0,49179.07516666667,71173.76878252918,-69777.0,2984.75,21200.0,64006.25,983931.0
BILL_AMT3,30000.0,47013.1548,69349.38742703729,-157264.0,2666.25,20088.5,60164.75,1664089.0
BILL_AMT4,30000.0,43262.94896666666,64332.85613391704,-170000.0,2326.75,19052.0,54506.0,891586.0
BILL_AMT5,30000.0,40311.40096666667,60797.155770264195,-81334.0,1763.0,18104.5,50190.5,927171.0
BILL_AMT6,30000.0,38871.7604,59554.10753674454,-339603.0,1256.0,17071.0,49198.25,961664.0
PAY_AMT1,30000.0,5663.5805,16563.280354026534,0.0,1000.0,2100.0,5006.0,873552.0
PAY_AMT2,30000.0,5921.1635,23040.870402054872,0.0,833.0,2009.0,5000.0,1684259.0
PAY_AMT3,30000.0,5225.6815,17606.96146980426,0.0,390.0,1800.0,4505.0,896040.0
PAY_AMT4,30000.0,4826.076866666666,15666.159744031342,0.0,296.0,1500.0,4013.25,621000.0
PAY_AMT5,30000.0,4799.387633333334,15278.30567914539,0.0,252.5,1500.0,4031.5,426529.0
PAY_AMT6,30000.0,5215.502566666667,17777.465775434066,0.0,117.75,1500.0,4000.0,528666.0
