dataset,model,condition,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std
australian,gru,baseline,0.7719,0.0885,0.754,0.1187,0.8509,0.0924,0.8261,0.1099,0.7852,0.0984
australian,gru,focal_loss,0.784,0.0864,0.771,0.1007,0.8606,0.0819,0.8371,0.1027,0.7979,0.0866
australian,gru,smoteenn,0.7501,0.0887,0.6963,0.1161,0.8236,0.0742,0.7942,0.0899,0.7417,0.0904
australian,gru,weighted_bce,0.7297,0.0743,0.7345,0.1022,0.8377,0.0762,0.8123,0.087,0.763,0.0867
australian,lstm,baseline,0.7988,0.0653,0.7614,0.0963,0.8589,0.0636,0.8439,0.0677,0.7935,0.0768
australian,lstm,focal_loss,0.7457,0.0894,0.7407,0.0946,0.8401,0.0766,0.8129,0.0928,0.7681,0.0783
australian,lstm,smoteenn,0.6968,0.26,0.6213,0.2514,0.8198,0.0813,0.7857,0.0944,0.7201,0.1156
australian,lstm,weighted_bce,0.7631,0.0861,0.7591,0.0862,0.8566,0.0671,0.8365,0.0719,0.7834,0.0788
australian,mlp,baseline,0.8456,0.0631,0.8314,0.0876,0.9312,0.0444,0.9154,0.0463,0.8531,0.0714
australian,mlp,focal_loss,0.8431,0.0639,0.8442,0.072,0.9351,0.0407,0.9213,0.0376,0.8621,0.062
australian,mlp,smoteenn,0.8296,0.0463,0.819,0.076,0.9215,0.0464,0.9022,0.0555,0.8414,0.0618
australian,mlp,weighted_bce,0.8397,0.0611,0.8426,0.09,0.9326,0.0453,0.917,0.0482,0.8621,0.0756
default_credit,gru,baseline,0.682,0.0272,0.4674,0.0207,0.7738,0.0111,0.5525,0.0202,0.6543,0.0103
default_credit,gru,focal_loss,0.4752,0.0285,0.5328,0.0145,0.7736,0.0114,0.5484,0.0222,0.7082,0.0092
default_credit,gru,smoteenn,0.4317,0.0544,0.513,0.0256,0.7603,0.0159,0.5218,0.0256,0.6979,0.0173
default_credit,gru,weighted_bce,0.4769,0.014,0.5325,0.0123,0.7748,0.013,0.5498,0.0204,0.7077,0.0098
default_credit,lstm,baseline,0.6763,0.0281,0.4647,0.0265,0.7694,0.0133,0.5428,0.0218,0.6532,0.0129
default_credit,lstm,focal_loss,0.4805,0.0268,0.5336,0.0127,0.7706,0.0113,0.5421,0.0173,0.7081,0.0088
default_credit,lstm,smoteenn,0.428,0.0724,0.476,0.0936,0.7349,0.0501,0.4778,0.0671,0.6721,0.0536
default_credit,lstm,weighted_bce,0.491,0.0258,0.5336,0.0166,0.7708,0.0128,0.5471,0.0241,0.7062,0.0115
default_credit,mlp,baseline,0.6873,0.0231,0.4645,0.0276,0.7798,0.0102,0.5514,0.0162,0.653,0.0134
default_credit,mlp,focal_loss,0.4708,0.0181,0.5342,0.0141,0.7795,0.0103,0.5488,0.0159,0.7103,0.0109
default_credit,mlp,smoteenn,0.3767,0.0159,0.4966,0.0125,0.7753,0.0119,0.536,0.0172,0.693,0.0105
default_credit,mlp,weighted_bce,0.472,0.0203,0.5338,0.0135,0.7804,0.0096,0.5481,0.016,0.7096,0.0092
german,gru,baseline,0.136,0.294,0.0921,0.1943,0.6042,0.1063,0.4182,0.1135,0.5274,0.0577
german,gru,focal_loss,0.3512,0.0666,0.3929,0.0903,0.5794,0.0656,0.3872,0.0413,0.5329,0.0514
german,gru,smoteenn,0.3261,0.0375,0.4593,0.0401,0.5902,0.0533,0.3859,0.0715,0.5374,0.0514
german,gru,weighted_bce,0.358,0.0608,0.4235,0.0984,0.5829,0.0746,0.376,0.0664,0.5631,0.0624
german,lstm,baseline,0.0,0.0,0.0,0.0,0.5341,0.0522,0.3286,0.0353,0.5,0.0
german,lstm,focal_loss,0.3449,0.0378,0.4154,0.087,0.5836,0.0568,0.3861,0.0543,0.546,0.0407
german,lstm,smoteenn,0.3026,0.0128,0.4598,0.0066,0.5421,0.0296,0.3478,0.0299,0.5033,0.0215
german,lstm,weighted_bce,0.3735,0.0647,0.4632,0.0754,0.6137,0.077,0.3991,0.0751,0.5805,0.0701
german,mlp,baseline,0.6502,0.0713,0.5627,0.1009,0.7988,0.0385,0.6288,0.0623,0.6943,0.0585
german,mlp,focal_loss,0.536,0.0519,0.6277,0.0605,0.8044,0.036,0.6315,0.0628,0.7386,0.053
german,mlp,smoteenn,0.4397,0.0479,0.5821,0.0414,0.7825,0.0358,0.5961,0.0683,0.6921,0.0457
german,mlp,weighted_bce,0.5248,0.0642,0.6073,0.0637,0.8032,0.0396,0.6454,0.0691,0.7195,0.0546
