,count,mean,std,min,25%,50%,75%,max
G0,1000.0,2.577,1.2576377271108865,1.0,1.0,2.0,4.0,4.0
G1,1000.0,20.903,12.058814452756392,4.0,12.0,18.0,24.0,72.0
G2,1000.0,2.545,1.0831196370429959,0.0,2.0,2.0,4.0,4.0
G3,1000.0,32.711,28.252604989428654,2.0,14.0,23.0,40.0,184.0
G4,1000.0,2.105,1.5800226173923817,1.0,1.0,1.0,3.0,5.0
G5,1000.0,3.384,1.2083062542269623,1.0,3.0,3.0,5.0,5.0
G6,1000.0,2.682,0.7080800642423033,1.0,2.0,3.0,3.0,4.0
G7,1000.0,2.845,1.1037178956568579,1.0,2.0,3.0,4.0,4.0
G8,1000.0,2.358,1.050208997742319,1.0,1.0,2.0,3.0,4.0
G9,1000.0,35.546,11.375468574317502,19.0,27.0,33.0,42.0,75.0
G10,1000.0,2.675,0.705601072046285,1.0,3.0,3.0,3.0,3.0
G11,1000.0,1.407,0.5776544682460991,1.0,1.0,1.0,2.0,4.0
G12,1000.0,1.155,0.36208577175319234,1.0,1.0,1.0,1.0,2.0
G13,1000.0,1.404,0.49094299569810496,1.0,1.0,1.0,2.0,2.0
G14,1000.0,1.037,0.18885620632287056,1.0,1.0,1.0,1.0,2.0
G15,1000.0,0.234,0.4235840216809673,0.0,0.0,0.0,0.0,1.0
G16,1000.0,0.103,0.30411097231682493,0.0,0.0,0.0,0.0,1.0
G17,1000.0,0.907,0.2905777614261552,0.0,1.0,1.0,1.0,1.0
G18,1000.0,0.041,0.1983894109027963,0.0,0.0,0.0,0.0,1.0
G19,1000.0,0.179,0.38354413840666063,0.0,0.0,0.0,0.0,1.0
G20,1000.0,0.713,0.45258793160648314,0.0,0.0,1.0,1.0,1.0
G21,1000.0,0.022,0.14675672910479318,0.0,0.0,0.0,0.0,1.0
G22,1000.0,0.2,0.40020015012510946,0.0,0.0,0.0,0.0,1.0
G23,1000.0,0.63,0.48304589153964467,0.0,0.0,1.0,1.0,1.0
