metric,n_pairs,left_mean,right_mean,mean_difference_left_minus_right,wilcoxon_statistic,wilcoxon_pvalue,ttest_statistic,ttest_pvalue,dataset,model,comparison,left_condition,right_condition
accuracy,10,0.7899,0.7507,0.0391,8.5,0.1055,1.7344,0.1169,australian,gru,baseline_vs_smoteenn,baseline,smoteenn
f1,10,0.754,0.6963,0.0577,10.5,0.0879,1.9832,0.0787,australian,gru,baseline_vs_smoteenn,baseline,smoteenn
pr_auc,10,0.8261,0.7942,0.0319,15.0,0.2324,1.5283,0.1608,australian,gru,baseline_vs_smoteenn,baseline,smoteenn
balanced_accuracy,10,0.7852,0.7417,0.0435,10.0,0.084,1.8374,0.0993,australian,gru,baseline_vs_smoteenn,baseline,smoteenn
accuracy,10,0.7899,0.7652,0.0246,18.0,0.6328,1.1289,0.2881,australian,gru,baseline_vs_weighted_bce,baseline,weighted_bce
f1,10,0.754,0.7345,0.0195,26.0,0.9219,0.7222,0.4885,australian,gru,baseline_vs_weighted_bce,baseline,weighted_bce
pr_auc,10,0.8261,0.8123,0.0138,27.0,1.0,0.979,0.3532,australian,gru,baseline_vs_weighted_bce,baseline,weighted_bce
balanced_accuracy,10,0.7852,0.763,0.0222,24.0,0.7695,0.9544,0.3648,australian,gru,baseline_vs_weighted_bce,baseline,weighted_bce
accuracy,10,0.7507,0.7652,-0.0145,10.5,0.6094,-0.8076,0.4402,australian,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
f1,10,0.6963,0.7345,-0.0382,8.0,0.1953,-1.6028,0.1435,australian,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
pr_auc,10,0.7942,0.8123,-0.0181,14.0,0.1934,-1.3502,0.2099,australian,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
balanced_accuracy,10,0.7417,0.763,-0.0213,16.0,0.4961,-1.1285,0.2883,australian,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
accuracy,10,0.7507,0.8014,-0.0507,9.0,0.0605,-1.9218,0.0868,australian,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
f1,10,0.6963,0.771,-0.0747,8.0,0.0488,-2.2711,0.0493,australian,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
pr_auc,10,0.7942,0.8371,-0.0429,5.0,0.0195,-2.2655,0.0497,australian,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
balanced_accuracy,10,0.7417,0.7979,-0.0562,8.0,0.0469,-2.0655,0.0689,australian,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
accuracy,10,0.8,0.7348,0.0652,4.0,0.0273,2.6151,0.028,australian,lstm,baseline_vs_smoteenn,baseline,smoteenn
