dataset,model,condition,epochs_ran_mean,final_train_loss_mean,final_train_accuracy_mean,final_train_accuracy_std,best_val_accuracy_mean,best_val_accuracy_std
australian,gru,baseline,19.5,0.4723888183657482,0.7840579710144928,0.028244948080157338,0.8130434782608695,0.08787756977056813
australian,gru,focal_loss,20.4,0.05903495150931696,0.7890499194847022,0.030572261655175858,0.8246376811594203,0.08352040893391233
australian,gru,smoteenn,14.4,0.3663374696593841,0.8321329035090785,0.06594307720499888,0.7782608695652173,0.07422969021161742
australian,gru,weighted_bce,19.7,0.5483050710769091,0.7753623188405797,0.02127189180937663,0.7971014492753623,0.06658960749802041
australian,lstm,baseline,24.2,0.47713216770674294,0.7760064412238326,0.02745874656457917,0.8188405797101449,0.06233569034088861
australian,lstm,focal_loss,16.8,0.06504301728317799,0.7592592592592593,0.033299130278006274,0.7985507246376812,0.07892306474152423
australian,lstm,smoteenn,16.6,0.4511349214940802,0.7573091578708786,0.16456827132925608,0.7594202898550725,0.0888678824159762
australian,lstm,weighted_bce,20.7,0.5788663768250009,0.7426731078904992,0.08215471752665034,0.8014492753623188,0.0676501013195567
australian,mlp,baseline,11.8,0.28866223223303444,0.8826086956521738,0.007758117718023513,0.8782608695652174,0.05029725636645551
australian,mlp,focal_loss,12.0,0.03649397957035237,0.889049919484702,0.009091853291616167,0.8782608695652174,0.04792114692806667
australian,mlp,smoteenn,8.6,0.03236730314054556,0.9901049523737612,0.006507492065250614,0.8768115942028987,0.04387899063909407
australian,mlp,weighted_bce,15.4,0.3125215379572241,0.8887278582930757,0.012250796444515624,0.8797101449275362,0.0551021193144304
default_credit,gru,baseline,22.9,0.4261143350203832,0.8231333333333334,0.0019179321283179034,0.8227,0.0060091494026367894
default_credit,gru,focal_loss,20.4,0.04888644079654305,0.7604703703703704,0.0037933613064832497,0.7933,0.011699372147340879
default_credit,gru,smoteenn,11.7,0.37494431310067994,0.8117621934399585,0.012589315037055253,0.7508666666666667,0.016674960899134193
default_credit,gru,weighted_bce,19.2,0.8692709012296465,0.7614518518518518,0.0023504045966648264,0.7937000000000001,0.007610016141836545
default_credit,lstm,baseline,18.9,0.4317425878047943,0.8211111111111112,0.0017605475032074999,0.8221333333333334,0.0062007566244813885
default_credit,lstm,focal_loss,14.7,0.049679375932614005,0.7634148148148148,0.003052744685412112,0.7932,0.006196773353931876
default_credit,lstm,smoteenn,7.5,0.41164200997446443,0.7894537148761022,0.007801507162473157,0.7555666666666666,0.022524636717586775
default_credit,lstm,weighted_bce,21.3,0.8716509077813891,0.7648592592592592,0.004164239805358328,0.7953666666666667,0.008319915123023875
default_credit,mlp,baseline,14.5,0.4279416998510007,0.8210666666666666,0.0008345532908356401,0.8232333333333333,0.005845859566742401
default_credit,mlp,focal_loss,12.8,0.048902815077812585,0.7560592592592592,0.004483817368988732,0.7847666666666667,0.010528092929906196
default_credit,mlp,smoteenn,8.8,0.3616369984388017,0.8215059108041863,0.00581891497496428,0.6836333333333333,0.017596611626695093
default_credit,mlp,weighted_bce,15.7,0.8618912556966146,0.7518296296296296,0.0026494759110551815,0.7761,0.008619601549039112
german,gru,baseline,18.5,0.5887497916089164,0.7034444444444444,0.012824124214369185,0.71,0.02309401076758504
german,gru,focal_loss,9.3,0.07236469008194076,0.5826666666666667,0.07688589161359909,0.6609999999999999,0.03956710193526376
german,gru,smoteenn,9.7,0.5488027747050407,0.7347462512838303,0.034288299969143704,0.521,0.054863466897380815
german,gru,weighted_bce,13.2,0.9524844320615132,0.5408888888888889,0.08714618845288398,0.6599999999999999,0.038005847503304595
german,lstm,baseline,9.7,0.6148115852011575,0.7,0.0,0.7,0.0
german,lstm,focal_loss,9.9,0.07223532159295347,0.5389999999999999,0.0883943806443173,0.6729999999999999,0.031287200080686174
german,lstm,smoteenn,8.3,0.6308868765425828,0.6563835171931016,0.04199988276899212,0.45099999999999996,0.12922418074373265
german,lstm,weighted_bce,13.5,0.9595441029601627,0.5408888888888889,0.0713783558545538,0.65,0.06666666666666665
german,mlp,baseline,11.4,0.4251674014065001,0.8053333333333332,0.01640368656078981,0.786,0.03533962208186286
german,mlp,focal_loss,10.8,0.05116960502829817,0.7658888888888888,0.015035851075290018,0.755,0.03807886552931954
german,mlp,smoteenn,7.3,0.17926965749263338,0.9305787490292854,0.008903857051895158,0.6809999999999999,0.037252889522529364
german,mlp,weighted_bce,12.1,0.6543541098634402,0.7637777777777778,0.019725134544145373,0.739,0.041486276177925566
