iter	Passed	Remaining
0	87	43905
1	168	41885
2	258	42895
3	357	44373
4	448	44361
5	593	48859
6	690	48619
7	780	48020
8	876	47794
9	966	47374
10	1059	47099
11	1148	46689
12	1237	46372
13	1344	46669
14	1434	46380
15	1530	46309
16	1618	45970
17	1701	45553
18	1805	45697
19	1866	44793
20	1994	45484
21	2085	45313
22	2183	45289
23	2284	45305
24	2376	45147
25	2460	44863
26	2550	44688
27	2653	44733
28	2785	45246
29	2876	45071
30	2980	45087
31	3088	45170
32	3178	44983
33	3279	44946
34	3374	44832
35	3463	44646
36	3565	44614
37	3732	45382
38	3838	45378
39	3928	45175
40	4021	45023
41	4123	44964
42	4224	44898
43	4312	44698
44	4427	44765
45	4533	44740
46	4644	44766
47	4841	45594
48	5017	46183
49	5114	46028
50	5213	45900
51	5319	45826
52	5424	45746
53	5543	45787
54	5639	45628
55	5741	45520
56	5838	45376
57	5934	45226
58	6045	45184
59	6165	45215
60	6260	45051
61	6420	45360
62	6527	45274
63	6634	45200
64	6739	45100
65	6836	44953
66	6944	44880
67	7050	44794
68	7162	44738
69	7270	44663
70	7371	44542
71	7480	44466
72	7576	44319
73	7702	44340
74	7794	44170
75	7889	44014
76	7975	43811
77	8068	43651
78	8165	43514
79	8274	43439
80	8401	43458
81	8445	43050
82	8545	42933
83	8651	42845
84	8745	42698
85	8840	42558
86	8931	42396
87	9027	42267
88	9130	42163
89	9224	42024
90	9334	41955
91	9454	41930
92	9554	41815
93	9650	41683
94	9752	41578
95	9837	41397
96	9942	41305
97	10035	41164
98	10128	41025
99	10223	40894
100	10330	40809
101	10428	40692
102	10530	40589
103	10628	40471
104	10725	40349
105	10819	40215
106	10919	40104
107	11003	39937
108	11104	39832
109	11196	39695
110	11285	39551
111	11378	39419
112	11472	39289
113	11567	39168
114	11757	39362
115	11854	39241
116	11941	39090
117	12032	38952
118	12128	38830
119	12229	38726
120	12315	38573
121	12421	38486
122	12518	38370
123	12618	38263
124	12724	38174
125	12892	38268
126	13087	38439
127	13191	38336
128	13293	38231
129	13396	38128
130	13481	37974
131	13576	37849
132	13670	37721
133	13756	37573
134	13874	37512
135	13967	37383
136	14085	37320
137	14179	37195
138	14269	37059
139	14377	36969
140	14475	36855
141	14585	36773
142	14683	36657
143	14782	36546
144	14877	36423
145	14974	36308
146	15069	36186
147	15166	36071
148	15255	35938
149	15347	35811
150	15446	35701
151	15536	35571
152	15629	35448
153	15734	35350
154	15839	35256
155	15929	35125
156	16032	35025
157	16132	34919
158	16218	34782
159	16339	34721
160	16432	34601
161	16536	34502
162	16597	34315
163	16696	34206
164	16791	34090
165	16879	33962
166	16997	33892
167	17103	33800
168	17197	33682
169	17287	33557
170	17391	33461
171	17488	33350
172	17577	33224
173	17673	33111
174	17772	33006
175	17867	32892
176	17965	32783
177	18072	32692
178	18169	32583
179	18276	32491
180	18360	32359
181	18463	32260
182	18556	32143
183	18650	32030
184	18757	31937
185	18848	31819
186	18939	31700
187	19044	31605
188	19135	31486
189	19230	31376
190	19324	31262
191	19419	31151
192	19515	31042
193	19610	30931
194	19701	30815
195	19791	30697
196	19899	30606
197	19989	30489
198	20095	30395
199	20199	30299
200	20308	30210
201	20406	30104
202	20516	30016
203	20607	29901
204	20707	29798
205	20795	29678
206	20886	29563
207	20979	29452
208	21073	29341
209	21180	29249
210	21276	29141
211	21366	29026
212	21461	28918
213	21558	28811
214	21662	28715
215	21760	28611
216	21821	28458
217	21912	28345
218	22008	28239
219	22104	28132
220	22196	28021
221	22298	27923
222	22394	27817
223	22494	27716
224	22586	27605
225	22703	27525
226	22790	27408
227	22884	27300
228	22970	27183
229	23059	27070
230	23142	26949
231	23231	26836
232	23318	26720
233	23410	26612
234	23505	26506
235	23607	26408
236	23697	26297
237	23797	26197
238	23905	26106
239	24011	26012
240	24100	25900
241	24182	25781
242	24281	25680
243	24384	25583
244	24469	25468
245	24563	25362
246	24664	25263
247	24765	25164
248	24882	25082
249	24974	24974
250	25069	24869
251	25158	24759
252	25250	24652
253	25341	24543
254	25447	24449
255	25537	24340
256	25624	24228
257	25715	24120
258	25810	24016
259	25899	23907
260	25988	23797
261	26095	23705
262	26194	23605
263	26287	23499
264	26385	23398
265	26482	23296
266	26578	23194
267	26675	23092
268	26771	22989
269	26869	22889
270	26965	22786
271	27109	22724
272	27204	22620
273	27299	22517
274	27384	22405
275	27488	22309
276	27593	22214
277	27687	22110
278	27768	21995
279	27862	21891
280	27948	21782
281	28042	21678
282	28133	21572
283	28232	21472
284	28337	21377
285	28434	21276
286	28529	21173
287	28633	21077
288	28721	20969
289	28815	20866
290	28909	20763
291	29003	20660
292	29093	20553
293	29196	20457
294	29326	20379
295	29427	20280
296	29523	20179
297	29615	20075
298	29709	19971
299	29801	19867
300	29897	19766
301	29989	19661
302	30085	19560
303	30178	19457
304	30269	19352
305	30364	19251
306	30454	19145
307	30539	19037
308	30628	18932
309	30733	18836
310	30839	18741
311	30923	18633
312	31005	18524
313	31094	18419
314	31201	18324
315	31296	18223
316	31386	18118
317	31519	18039
318	31626	17944
319	31743	17855
320	31835	17752
321	31927	17649
322	32033	17554
323	32127	17452
324	32219	17348
325	32308	17244
326	32404	17143
327	32503	17044
328	32608	16948
329	32701	16846
330	32791	16742
331	32885	16640
332	32983	16541
333	33087	16444
334	33175	16340
335	33277	16242
336	33375	16142
337	33475	16044
338	33580	15948
339	33684	15851
340	33798	15759
341	33905	15664
342	34007	15566
343	34101	15464
344	34205	15367
345	34302	15267
346	34405	15169
347	34502	15069
348	34599	14970
349	34704	14873
350	34793	14769
351	34887	14668
352	34977	14565
353	35077	14467
354	35170	14365
355	35264	14264
356	35357	14162
357	35452	14062
358	35542	13959
359	35645	13862
360	35742	13762
361	35850	13666
362	36000	13586
363	36098	13487
364	36200	13389
365	36295	13288
366	36382	13184
367	36488	13088
368	36597	12992
369	36695	12893
370	36787	12791
371	36876	12688
372	36969	12587
373	37064	12486
374	37164	12388
375	37260	12287
376	37358	12188
377	37448	12086
378	37553	11989
379	37655	11891
380	37755	11792
381	37864	11696
382	37962	11596
383	38056	11496
384	38176	11403
385	38270	11302
386	38358	11200
387	38455	11100
388	38551	11000
389	38649	10901
390	38743	10800
391	38843	10701
392	38935	10600
393	39037	10502
394	39131	10402
395	39223	10301
396	39324	10202
397	39422	10103
398	39514	10002
399	39604	9901
400	39699	9801
401	39806	9703
402	39901	9604
403	39988	9502
404	40097	9405
405	40193	9305
406	40291	9206
407	40411	9112
408	40497	9010
409	40590	8910
410	40681	8809
411	40780	8710
412	40882	8612
413	40986	8514
414	41077	8413
415	41176	8314
416	41285	8217
417	41376	8117
418	41478	8018
419	41571	7918
420	41670	7819
421	41765	7719
422	41865	7620
423	41954	7520
424	42057	7421
425	42163	7324
426	42252	7223
427	42344	7123
428	42453	7026
429	42595	6934
430	42700	6836
431	42811	6738
432	42915	6640
433	43044	6545
434	43138	6445
435	43232	6346
436	43335	6247
437	43444	6149
438	43539	6049
439	43630	5949
440	43721	5849
441	43820	5750
442	43920	5651
443	44009	5550
444	44106	5451
445	44216	5353
446	44309	5253
447	44400	5153
448	44487	5053
449	44585	4953
450	44678	4854
