feature,mean_abs_shap
max_pay_delay,0.17269619529265046
num_delayed_months,0.1179066927877095
PAY_0,0.06982172771116293
utilization_current,0.04835666558343357
avg_pay_amt,0.041961938596372386
LIMIT_BAL,0.038318641033251354
avg_pay_delay,0.0382435291922457
max_bill_amt,0.029080380821768278
BILL_AMT1,0.02483410237972481
PAY_AMT2,0.023683222835210876
std_bill_amt,0.01508856727248857
BILL_AMT2,0.013220138503593637
PAY_AMT1,0.013060023389611522
avg_payment_to_bill_ratio,0.012648582407648898
avg_utilization,0.00755846066988662
recent_payment_change,0.006347863807693556
recent_bill_change,0.0059125662428413965
avg_bill_amt,0.004723781688192724
payment_to_bill_ratio_1,0.003964911672395784
AGE,0.003146833276101265
max_pay_amt,0.0029961294514395474
PAY_AMT4,0.0029597154038757244
PAY_AMT3,0.0025146438042901427
BILL_AMT5,0.002383797744570895
MARRIAGE,0.0021242044447244935
std_pay_amt,0.0020417327248072794
PAY_AMT5,0.0019785751447093432
BILL_AMT4,0.000919264990986093
BILL_AMT3,0.0009155457477290278
PAY_AMT6,0.0008728167012076377
PAY_6,0.0007530412810023824
BILL_AMT6,0.0002509365859059813
SEX,0.0
EDUCATION,0.0
PAY_2,0.0
PAY_3,0.0
PAY_4,0.0
PAY_5,0.0
