feature,mean_abs_ig
PAY_0,0.41665283
max_pay_delay,0.28196704
num_delayed_months,0.25587884
LIMIT_BAL,0.24290925
avg_utilization,0.10177502
BILL_AMT1,0.098500706
PAY_AMT1,0.093672
BILL_AMT2,0.08677105
avg_pay_delay,0.08664735
MARRIAGE,0.07732278
PAY_6,0.070955545
avg_bill_amt,0.061182763
avg_pay_amt,0.05625342
utilization_current,0.05125963
SEX,0.04943447
recent_bill_change,0.048548147
max_bill_amt,0.043697823
EDUCATION,0.042856727
std_bill_amt,0.041112423
BILL_AMT3,0.039021965
PAY_AMT4,0.031761233
AGE,0.03146702
BILL_AMT4,0.03122985
PAY_AMT3,0.030079883
PAY_AMT2,0.029352952
PAY_AMT5,0.02891928
BILL_AMT6,0.025458636
PAY_AMT6,0.025255684
PAY_2,0.025230853
BILL_AMT5,0.023517445
max_pay_amt,0.02245842
PAY_4,0.022382764
std_pay_amt,0.019042414
PAY_3,0.018682528
PAY_5,0.016052412
recent_payment_change,0.01585292
payment_to_bill_ratio_1,0.0008254083
avg_payment_to_bill_ratio,0.00068683695
