feature,mean_abs_importance,mean_mask
num_delayed_months,0.24738893,0.24738893
PAY_0,0.1707333,0.1707333
max_pay_delay,0.12653708,0.12653708
PAY_AMT2,0.05636327,0.05636327
utilization_current,0.05267898,0.05267898
PAY_AMT4,0.049709663,0.049709663
PAY_2,0.04879195,0.04879195
avg_bill_amt,0.03911582,0.03911582
PAY_AMT5,0.028020287,0.028020287
PAY_4,0.022084871,0.022084871
avg_pay_delay,0.018025512,0.018025512
EDUCATION,0.017505188,0.017505188
max_bill_amt,0.015106552,0.015106552
std_pay_amt,0.0130711775,0.0130711775
recent_payment_change,0.012177887,0.012177887
max_pay_amt,0.011974655,0.011974655
std_bill_amt,0.011050852,0.011050852
BILL_AMT6,0.0107248705,0.0107248705
PAY_3,0.00783358,0.00783358
avg_pay_amt,0.0061964253,0.0061964253
avg_utilization,0.0060789078,0.0060789078
BILL_AMT3,0.0057509844,0.0057509844
AGE,0.005596372,0.005596372
PAY_AMT1,0.004981748,0.004981748
BILL_AMT2,0.0044948203,0.0044948203
PAY_AMT3,0.0038273816,0.0038273816
SEX,0.0026807126,0.0026807126
BILL_AMT4,0.0012616039,0.0012616039
PAY_AMT6,0.00016460237,0.00016460237
recent_bill_change,4.0871113e-05,4.0871113e-05
BILL_AMT5,3.1129086e-05,3.1129086e-05
LIMIT_BAL,0.0,0.0
BILL_AMT1,0.0,0.0
payment_to_bill_ratio_1,0.0,0.0
avg_payment_to_bill_ratio,0.0,0.0
MARRIAGE,0.0,0.0
PAY_5,0.0,0.0
PAY_6,0.0,0.0
