model_name,method,seed,fold,k,overlap
Random-CatBoost,Random,42,0,3,0.0
Random-CatBoost,Random,42,0,5,0.0
Random-CatBoost,Random,42,0,10,0.6
CatBoost,TreeSHAP,42,0,3,0.6666666666666666
CatBoost,TreeSHAP,42,0,5,0.6
CatBoost,TreeSHAP,42,0,10,0.5
Random-LightGBM,Random,42,0,3,0.0
Random-LightGBM,Random,42,0,5,0.0
Random-LightGBM,Random,42,0,10,0.2
LightGBM,TreeSHAP,42,0,3,1.0
LightGBM,TreeSHAP,42,0,5,0.8
LightGBM,TreeSHAP,42,0,10,0.6
Random-MLP,Random,42,0,3,0.0
Random-MLP,Random,42,0,5,0.2
Random-MLP,Random,42,0,10,0.2
MLP,IntegratedGradients,42,0,3,0.3333333333333333
MLP,IntegratedGradients,42,0,5,0.4
MLP,IntegratedGradients,42,0,10,0.6
Random-TabNet,Random,42,0,3,0.0
Random-TabNet,Random,42,0,5,0.0
Random-TabNet,Random,42,0,10,0.1
TabNet,TabNetMasks,42,0,3,0.3333333333333333
TabNet,TabNetMasks,42,0,5,0.4
TabNet,TabNetMasks,42,0,10,0.4
Random-CatBoost,Random,42,1,3,0.0
Random-CatBoost,Random,42,1,5,0.0
Random-CatBoost,Random,42,1,10,0.5
CatBoost,TreeSHAP,42,1,3,0.6666666666666666
CatBoost,TreeSHAP,42,1,5,0.4
CatBoost,TreeSHAP,42,1,10,0.3
Random-LightGBM,Random,42,1,3,0.0
Random-LightGBM,Random,42,1,5,0.0
Random-LightGBM,Random,42,1,10,0.1
LightGBM,TreeSHAP,42,1,3,0.6666666666666666
LightGBM,TreeSHAP,42,1,5,0.6
LightGBM,TreeSHAP,42,1,10,0.5
Random-MLP,Random,42,1,3,0.0
Random-MLP,Random,42,1,5,0.0
Random-MLP,Random,42,1,10,0.4
MLP,IntegratedGradients,42,1,3,0.0
MLP,IntegratedGradients,42,1,5,0.2
MLP,IntegratedGradients,42,1,10,0.4
Random-TabNet,Random,42,1,3,0.0
Random-TabNet,Random,42,1,5,0.0
Random-TabNet,Random,42,1,10,0.1
TabNet,TabNetMasks,42,1,3,0.6666666666666666
TabNet,TabNetMasks,42,1,5,1.0
TabNet,TabNetMasks,42,1,10,0.6
Random-CatBoost,Random,42,2,3,0.0
Random-CatBoost,Random,42,2,5,0.0
Random-CatBoost,Random,42,2,10,0.2
CatBoost,TreeSHAP,42,2,3,0.3333333333333333
CatBoost,TreeSHAP,42,2,5,0.4
CatBoost,TreeSHAP,42,2,10,0.3
Random-LightGBM,Random,42,2,3,0.0
Random-LightGBM,Random,42,2,5,0.0
Random-LightGBM,Random,42,2,10,0.2
LightGBM,TreeSHAP,42,2,3,1.0
LightGBM,TreeSHAP,42,2,5,0.8
LightGBM,TreeSHAP,42,2,10,0.7
Random-MLP,Random,42,2,3,0.0
Random-MLP,Random,42,2,5,0.0
Random-MLP,Random,42,2,10,0.0
MLP,IntegratedGradients,42,2,3,0.6666666666666666
MLP,IntegratedGradients,42,2,5,0.8
MLP,IntegratedGradients,42,2,10,0.4
Random-TabNet,Random,42,2,3,0.0
Random-TabNet,Random,42,2,5,0.0
Random-TabNet,Random,42,2,10,0.3
TabNet,TabNetMasks,42,2,3,0.6666666666666666
TabNet,TabNetMasks,42,2,5,0.6
TabNet,TabNetMasks,42,2,10,0.6
Random-CatBoost,Random,42,3,3,0.0
Random-CatBoost,Random,42,3,5,0.0
Random-CatBoost,Random,42,3,10,0.3
CatBoost,TreeSHAP,42,3,3,0.6666666666666666
CatBoost,TreeSHAP,42,3,5,0.4
CatBoost,TreeSHAP,42,3,10,0.4
Random-LightGBM,Random,42,3,3,0.0
Random-LightGBM,Random,42,3,5,0.0
Random-LightGBM,Random,42,3,10,0.2
