,count,mean,std,min,25%,50%,75%,max
LIMIT_BAL,29965.0,167442.00500584015,129760.13522194118,10000.0,50000.0,140000.0,240000.0,1000000.0
AGE,29965.0,35.487969297513764,9.219459232802638,21.0,28.0,34.0,41.0,79.0
BILL_AMT1,29965.0,51283.00977807442,73658.13240338162,-165580.0,3595.0,22438.0,67260.0,964511.0
BILL_AMT2,29965.0,49236.36629400968,71195.5673920214,-69777.0,3010.0,21295.0,64109.0,983931.0
BILL_AMT3,29965.0,47067.91606874687,69371.35232267696,-157264.0,2711.0,20135.0,60201.0,1664089.0
BILL_AMT4,29965.0,43313.32988486568,64353.514372936785,-170000.0,2360.0,19081.0,54601.0,891586.0
BILL_AMT5,29965.0,40358.33439012181,60817.13062279784,-81334.0,1787.0,18130.0,50247.0,927171.0
BILL_AMT6,29965.0,38917.012280994495,59574.14774236079,-339603.0,1262.0,17124.0,49252.0,961664.0
PAY_AMT1,29965.0,5670.099315868513,16571.84946662621,0.0,1000.0,2102.0,5008.0,873552.0
PAY_AMT2,29965.0,5927.983180377107,23053.456644504455,0.0,850.0,2010.0,5000.0,1684259.0
PAY_AMT3,29965.0,5231.688836976473,17616.361124466785,0.0,390.0,1804.0,4512.0,896040.0
PAY_AMT4,29965.0,4831.617453695979,15674.464537587713,0.0,300.0,1500.0,4016.0,621000.0
PAY_AMT5,29965.0,4804.897046554313,15286.372297832162,0.0,261.0,1500.0,4042.0,426529.0
PAY_AMT6,29965.0,5221.498014350075,17786.97686438664,0.0,131.0,1500.0,4000.0,528666.0
avg_bill_amt,29965.0,45029.32811613548,63279.074162678175,-56043.166666666664,4841.0,21110.833333333332,57166.166666666664,877313.8333333334
max_bill_amt,29965.0,60643.035775070915,78423.35660804476,-6029.0,10091.0,31273.0,79662.0,1664089.0
std_bill_amt,29965.0,12091.894759820523,20309.803610506315,0.0,1555.3737064341376,4588.951456124445,14374.964520535927,647788.05108083
avg_pay_amt,29965.0,5281.297307970411,10142.306854895758,0.0,1116.6666666666667,2400.0,5600.0,627344.3333333334
max_pay_amt,29965.0,15866.64491907225,37951.87882737868,0.0,2200.0,5000.0,12105.0,1684259.0
std_pay_amt,29965.0,5811.698834788731,15013.888412138722,0.0,617.2714151813609,1416.1759424591282,4132.405336685484,650098.3388202126
avg_pay_delay,29965.0,-0.1809778074420157,0.98136819687921,-2.0,-0.8333333333333334,0.0,0.0,6.0
max_pay_delay,29965.0,0.439145669948273,1.3449337110042245,-2.0,0.0,0.0,2.0,8.0
num_delayed_months,29965.0,0.8342733188720174,1.5548207842886719,0.0,0.0,0.0,1.0,6.0
utilization_current,29965.0,0.4242631957622532,0.4114505730342609,-0.6198919999975204,0.02229999999777,0.31527826086819444,0.8303249999896211,6.455299999677235
avg_utilization,29965.0,0.3734804436465673,0.3518673161560494,-0.2325899999953482,0.030299999999831666,0.2856288888869847,0.6884541666494554,5.364308333065118
payment_to_bill_ratio_1,29965.0,99.24421150303476,2694.388812640973,0.0,0.03530393478400411,0.057460256655813065,0.2945161100312187,298887.0
avg_payment_to_bill_ratio,29965.0,3.9893626096464705,209.52028928906427,0.0,0.04132837830323946,0.08815103210166751,0.6090769686045573,27000.0
recent_bill_change,29965.0,2046.643484064742,22698.030502438676,-489972.0,-1525.0,0.0,2260.0,470400.0
recent_payment_change,29965.0,-257.8838645085934,24247.476031568982,-1679893.0,-841.0,0.0,1019.0,504669.0
