Model,Condition,Metric,Paper,Reproduced,Difference,Pct_Diff
MLP,BASELINE,Accuracy,0.810,0.887,+0.077,+9.5%
MLP,BASELINE,Sensitivity,0.850,0.867,+0.017,+2.0%
MLP,BASELINE,Specificity,0.781,0.904,+0.123,+15.7%
MLP,SMOTEENN,Accuracy,0.850,0.883,+0.033,+3.8%
MLP,SMOTEENN,Sensitivity,0.879,0.867,-0.012,-1.3%
MLP,SMOTEENN,Specificity,0.830,0.896,+0.066,+7.9%
LSTM,BASELINE,Accuracy,0.861,0.888,+0.027,+3.2%
LSTM,BASELINE,Sensitivity,0.848,0.851,+0.003,+0.4%
LSTM,BASELINE,Specificity,0.885,0.919,+0.034,+3.9%
LSTM,SMOTEENN,Accuracy,0.917,0.881,-0.036,-3.9%
LSTM,SMOTEENN,Sensitivity,0.897,0.851,-0.046,-5.1%
LSTM,SMOTEENN,Specificity,0.913,0.906,-0.007,-0.7%
GRU,BASELINE,Accuracy,0.837,0.886,+0.049,+5.8%
GRU,BASELINE,Sensitivity,0.829,0.842,+0.013,+1.5%
GRU,BASELINE,Specificity,0.849,0.922,+0.073,+8.6%
GRU,SMOTEENN,Accuracy,0.926,0.861,-0.065,-7.0%
GRU,SMOTEENN,Sensitivity,0.911,0.831,-0.080,-8.8%
GRU,SMOTEENN,Specificity,0.930,0.885,-0.045,-4.8%
