Model,Condition,Metric,Paper,Reproduced,Difference,Pct_Diff
MLP,BASELINE,Accuracy,0.704,0.883,+0.179,+25.4%
MLP,BASELINE,Sensitivity,0.773,0.909,+0.136,+17.6%
MLP,BASELINE,Specificity,0.310,0.851,+0.541,+174.6%
MLP,SMOTEENN,Accuracy,0.824,0.881,+0.057,+6.9%
MLP,SMOTEENN,Sensitivity,0.830,0.877,+0.047,+5.7%
MLP,SMOTEENN,Specificity,0.810,0.887,+0.077,+9.5%
LSTM,BASELINE,Accuracy,0.730,0.883,+0.153,+20.9%
LSTM,BASELINE,Sensitivity,0.770,0.919,+0.149,+19.4%
LSTM,BASELINE,Specificity,0.394,0.838,+0.444,+112.8%
LSTM,SMOTEENN,Accuracy,0.819,0.875,+0.056,+6.9%
LSTM,SMOTEENN,Sensitivity,0.859,0.891,+0.032,+3.7%
LSTM,SMOTEENN,Specificity,0.729,0.858,+0.129,+17.6%
GRU,BASELINE,Accuracy,0.749,0.880,+0.131,+17.5%
GRU,BASELINE,Sensitivity,0.895,0.922,+0.027,+3.0%
GRU,BASELINE,Specificity,0.431,0.829,+0.398,+92.3%
GRU,SMOTEENN,Accuracy,0.899,0.862,-0.037,-4.1%
GRU,SMOTEENN,Sensitivity,0.931,0.885,-0.046,-4.9%
GRU,SMOTEENN,Specificity,0.852,0.835,-0.017,-2.0%
